"","TCGA_subtype","immune_cell_type","tau","pvalue"
"279","READ","Macrophages.M0","0.132849373542866","0.160384397438896"
"280","READ","Macrophages.M1","0.089447526943632","0.348434747080948"
"281","READ","Macrophages.M2","0.146589259796807","0.121265903400363"
"282","READ","Dendritic.cells.resting","0.0672428673939644","0.507487169944797"
"283","READ","Dendritic.cells.activated","-0.294990955428526","0.00502017210871303"
"284","READ","Mast.cells.resting","-0.0725696599616501","0.490050116617716"
"285","READ","Mast.cells.activated","0.00666558051241074","0.944691998458431"
"286","READ","Eosinophils","-0.151624332098373","0.174560482284249"
"287","READ","Neutrophils","-0.0666314600752778","0.531933778353255"
"288","THCA","B.cells.naive","0.00930201087248634","0.840173136180524"
"289","THCA","B.cells.memory","0.0285628822841613","0.551929053491813"
"290","THCA","Plasma.cells","-0.141824566070646","0.00175843273323119"
"291","THCA","T.cells.CD8","-0.0171855541718555","0.704438933889907"
"292","THCA","T.cells.CD4.naive","-0.0579043490272437","0.29504688312429"
"293","THCA","T.cells.CD4.memory.resting","0.105525896501743","0.0200317706966246"
"294","THCA","T.cells.CD4.memory.activated","-0.0119299383902291","0.828048308528885"
"295","THCA","T.cells.follicular.helper","-0.0112079701120797","0.804604440912717"
"296","THCA","T.cells.regulatory..Tregs.","0.0020986766400912","0.963394935499973"
"297","THCA","T.cells.gamma.delta","-0.0529314637277794","0.325267191609709"
"298","THCA","NK.cells.resting","0.023814996966709","0.65659625349727"
"299","THCA","NK.cells.activated","0.00647948273693185","0.886336116809811"
"300","THCA","Monocytes","-0.0244628051360879","0.591588385200023"
"301","THCA","Macrophages.M0","-0.000587629459225537","0.989747266035612"
"302","THCA","Macrophages.M1","-0.0243487844959691","0.592409639036305"
"303","THCA","Macrophages.M2","0.0530510585305106","0.241602236685897"
"304","THCA","Dendritic.cells.resting","0.101654235488856","0.0292082502639851"
"305","THCA","Dendritic.cells.activated","0.0301276440531027","0.543783405178577"
"306","THCA","Mast.cells.resting","-0.0394869789925359","0.388920361321499"
"307","THCA","Mast.cells.activated","-0.046307613261903","0.385652996443418"
"308","THCA","Eosinophils","-0.0040342791864672","0.941247753065069"
"309","THCA","Neutrophils","0.0287593202614994","0.581856118900868"
"310","UCEC","B.cells.naive","-0.0415882859807998","0.319716270410654"
"311","UCEC","B.cells.memory","0.0077919136854097","0.861037425482147"
"312","UCEC","Plasma.cells","-0.033691942060993","0.406230997429833"
"313","UCEC","T.cells.CD8","0.0471739750352668","0.244570261728697"
"314","UCEC","T.cells.CD4.naive","-0.081239285570618","0.0961980888234285"
"315","UCEC","T.cells.CD4.memory.resting","0.024130295228013","0.561666844043536"
"316","UCEC","T.cells.CD4.memory.activated","0.0445729245262849","0.353429595934181"
"317","UCEC","T.cells.follicular.helper","-0.0170851046763456","0.673375583876039"
"318","UCEC","T.cells.regulatory..Tregs.","0.0647950143244381","0.11141035981142"
"319","UCEC","T.cells.gamma.delta","-0.00623243618072029","0.896857019588633"
"320","UCEC","NK.cells.resting","-0.0262571819638039","0.577990899627023"
"321","UCEC","NK.cells.activated","0.025445188784575","0.531208466064167"
"322","UCEC","Monocytes","-0.0266477595102422","0.522108156771936"
"323","UCEC","Macrophages.M0","0.0108519854386231","0.790175786671027"
"324","UCEC","Macrophages.M1","-0.0176425356097554","0.664992977318368"
"325","UCEC","Macrophages.M2","-0.00069519646040487","0.986316110881845"
"326","UCEC","Dendritic.cells.resting","-0.0352043287536484","0.427355729784718"
"327","UCEC","Dendritic.cells.activated","-0.00354905010398706","0.935716475271952"
"328","UCEC","Mast.cells.resting","-0.0879825619249106","0.0437111394373558"
"329","UCEC","Mast.cells.activated","0.069678179904476","0.115541300964243"
"330","UCEC","Eosinophils","0.0124737277479728","0.799470037113714"
"331","UCEC","Neutrophils","-0.00889927226691692","0.846153996435096"
